user_name,user_location,user_description,user_created,user_followers,user_friends,user_favourites,user_verified,date,text,hashtags,source,is_retweet
Bexpress Pro,G/F UNIT 5 Aseana Powerstation,"Bexpress, Inc. is a BSP-registered cryptocurrency exchange company in the Philippines.

Instagram: https://t.co/xpJ32pY1RO
Facebook: https://t.co/GMjGvlrktG",2020-04-27 07:22:51,16.0,56,0,False,2021-02-10 23:00:01,"Cryptocurrency-related stocks skyrocketed on Monday as Bitcoin tested new highs of over $43,000 per coin.

Trade no… https://t.co/r78GD0H8iR",,Twitter Web App,false
Mike Crypto Signals,EU,"• Professional Technical Analyst.
• Spot and Margin Trading Channel.
• https://t.co/ajcafuUBEH
• Public Trading since 2017
• #Crypto #Bitcoin",2017-10-17 14:15:33,2515.0,155,27,False,2021-02-10 22:59:51,Nice spot results on #ontology $ont - 32% profit and #iota $iota - 51% profit after a month waiting for the movemen… https://t.co/K3VeGxtGpj,"['ontology', 'iota']",Twitter Web App,false
m7md.hosawi,,"Musically, not just a RAPPER! Financially, not just a trader..... #BUY HODLER",2021-01-01 05:15:22,9.0,42,896,False,2021-02-10 22:59:42,"Such a beautiful 24h high N low for $kcs 😌❤️

#BTC #Bitcoin https://t.co/jKnLgZ7KdV","['BTC', 'Bitcoin']",Twitter for iPhone,false
Vaccine & Political Domains,,Vaccine and Political domains for sale at GoDaddy Auctions —— brokers welcome,2020-09-03 23:45:06,137.0,35,3403,False,2021-02-10 22:59:40,"$50 Covid Domains 

#domain #domainnames #domainname #covid #corona #coronavirus #covid19 #vaccination #vaccine… https://t.co/FTxhit3AAi","['domain', 'domainnames', 'domainname', 'covid', 'corona', 'coronavirus', 'covid19', 'vaccination', 'vaccine']",Twitter for iPhone,false
#MakeADifference,Online,"Are you ready to make a difference?

Get $100

by downloading the free app

https://t.co/aCR3jEahTa

Prioritize People Over Profits & Help Local Businesses",2015-05-02 16:54:25,78779.0,46656,120853,False,2021-02-10 22:59:20,https://t.co/zdsqyF1dxf #Ethereum killers and layer-2 tokens rally despite 5% #Bitcoin price drop… https://t.co/fU7GLhyE3c,"['Ethereum', 'Bitcoin']",Twibble.io,false
Opportunity (Korea),,"This is an informational account about Opportunity Channel, a discord group about cryptocurrency analysis. If you are interested in joining, please dm me",2020-11-18 04:32:52,118.0,1,6,False,2021-02-10 22:58:59,"$BTC bounce fail.  I know, I mentioned about upside move couple of hours ago, but new data suggest me a potential d… https://t.co/Qp0SVTztFE",,Twitter for iPhone,false
Mr Coin Miner 💯,London,#Bitcoin $RUNE $ORN $CHONK $RFUEL $YLD $ETH,2018-01-04 15:05:44,550.0,2378,6789,False,2021-02-10 22:58:27,🤝 Follow me on @betfury_io. Let's hunt for Bitcoins together! Get an exciting experience on #1 I-Gaming platform wi… https://t.co/GPzkadHvEA,,Twitter Web App,false
btcbull47,,Bullish on Bitcoin. Providing due diligence. Tweets are my own opinions. I am not a financial advisor.,2020-12-23 13:01:48,320.0,16,5624,False,2021-02-10 22:58:18,Am I the only one who caught on to @PeterGWall ‘s confirmation that @ArgoBlockchain has applied to upgrade to a OTC… https://t.co/ofPWgpAlHU,,Twitter for iPhone,false
ClankApp - Crypto Whales Tracker 🐳,Moon,"Biggest blockchains transactions in real time. Api available: https://t.co/Vkr2eDomy9 🐳 Made in France ❤️ Powered by @blockchair, @whale_alert",2019-04-19 16:31:36,4344.0,3,132,False,2021-02-10 22:57:56,"🚀 🚀2,874 #BTC (133,876,000 USD) move from multiple addresses to unknown wallet
 
Date : 2021-02-10 22:56:42 (GMT 0)… https://t.co/w1doBvC8jF",['BTC'],ClankApp,false
Stephen L Robinson,"California, USA",It's me Esteeb. Crypto Fan. $BTC and $CEL leading us away from bank control. I am also trying to save CA before one more friend has to move to Texas.,2011-11-15 16:19:50,842.0,2115,5181,False,2021-02-10 22:56:56,🤝 Follow me on @betfury_io. Let's hunt for Bitcoins together! Get an exciting experience on #1 I-Gaming platform wi… https://t.co/bYnqSP4TkY,,Twitter Web App,false
GOLD,,All aboard the rocket ship 🚀,2020-08-13 20:51:43,168.0,333,640,False,2021-02-10 22:56:54,"I'm incredibly pleased to announce the launch of my own discord.
I'll be posting chart setups as well as market ana… https://t.co/b0OGn7Dcn2",,TweetDeck,false
Zen Trifuge,,"#provider - #consument. #advisor - #inquisitive. #interested - #tired. #alien - #indigenous. #carefree - #thoughtful.

$MTXLT $BTC - Revolution is near",2013-11-28 09:45:50,292.0,1703,2568,False,2021-02-10 22:56:18,It just started... #BTC #bitcoin #tesla #mastercard mrcatapult @elonmusk $BTC next stop $ETH https://t.co/TWC5OvFZIK,"['BTC', 'bitcoin', 'tesla', 'mastercard']",Twitter for Android,false
Block Chain Gang,,"Market Cipher
https://t.co/Qj1AQKlQBG

Block Chain Gang Youtube 
https://t.co/OgxYAJWZXH

Beurax
https://t.co/G7vneKcJo7",2020-08-17 19:22:25,108.0,447,583,False,2021-02-10 22:56:17,"For #bitcoin to go to 50K its an 11% move. 
#Btc could do this in an hour the way its moving. 
Grandpa Bitcoin can… https://t.co/CIbaPVnYTh","['bitcoin', 'Btc']",Twitter Web App,false
Artceptual,"England, United Kingdom",Gaming with a bit of art thrown in!  I'm open to suggestions so feel free to drop it on me!,2016-04-10 13:35:49,143.0,453,163,False,2021-02-10 22:55:42,@CoinbaseSupport - please will you reply to my DMs + 4 emails?  Thanks. #help #bitcoin #BTC #Support,"['help', 'bitcoin', 'BTC', 'Support']",Twitter Web App,false
AmazonCoin.io,Jungle,"👉 https://t.co/U0GNQ7fs9m Amazon DeFi, Nature DeFi 🌱🌿🌳 #amazoncoin",2017-11-15 14:44:48,1036.0,0,8,False,2021-02-10 22:55:34,"https://t.co/gJjWvcDcH7 💯
https://t.co/Ch3mVOzSJE 💯

🤑🌱👉 https://t.co/GydSZXKIno

#AmazonCoin $AMA #amazon #pay… https://t.co/2bVD3nvCQ7","['AmazonCoin', 'amazon', 'pay']",Twitter for Android,false
BitcoinAgile,Matter Doesn't Matter,"Breaking News. Bitcoin, Blockchain & Beyond. #bitcoin #blockchain #ethereum #cryptocurrency #crypto #trading #TA #charts $btc $eth",2014-01-07 23:52:46,54889.0,13381,4496,False,2021-02-10 22:54:18,#ethereum killers and layer-2 tokens rally despite 5% #bitcoin price drop #crypto #btc https://t.co/w64UGYzDOB,"['ethereum', 'bitcoin', 'crypto', 'btc']",bitcoinagile,false
Yoda,Dagobah,"FEAR is the path that leads to the dark side.
Fear leads to ANGER
Anger leads to HATE
Hate leads to SUFFERING
- YODA

#BITCOIN",2020-04-02 21:56:17,106.0,268,716,False,2021-02-10 22:53:52,"will @thetimes , because its #cryptocurrency $btc, be telling all its readers to SELL:
@Tesla
 @PayPal
 @Visa… https://t.co/l2hWvgI33K",['cryptocurrency'],Twitter Web App,false
Free Bitcoin,,"#FreeBitcoin  #Bitcoin #BTC #Bitcoinmining #ElonMusk #btcturk
#Crypto #CryptoTab 
MAKE MONEY EARN 
💱💲💱💲💰💰💸💸💳💳",2018-08-10 06:29:19,33038.0,1024,8348,False,2021-02-10 22:53:26,"@NewBoldNewYork @Manh8tan #FreeBitcoin  #Bitcoin #BTC #Bitcoinmining #ElonMusk #btcturk
#Crypto #CryptoTab By creat… https://t.co/FvWlt6YI64","['FreeBitcoin', 'Bitcoin', 'BTC', 'Bitcoinmining', 'ElonMusk', 'btcturk', 'Crypto', 'CryptoTab']",Twitter for Android,false
T:HE:JAMES. HMRH,LORD HIS EXCELLENCY JAMES HRMH,"~~THE DUKE  ARE MADE OF IRON, SILK & WOOD.~~",2010-06-25 15:15:04,30801.0,6517,4655,False,2021-02-10 22:53:23,"Bitcoin still trading at AU$ 61,139.16 this morning. #BTC #Bitcoin 
https://t.co/1XNq01CaMn

Swipe researchers and… https://t.co/Ymk6qlaKY4","['BTC', 'Bitcoin']",Twitter Web App,false
Free Bitcoin,,"#FreeBitcoin  #Bitcoin #BTC #Bitcoinmining #ElonMusk #btcturk
#Crypto #CryptoTab 
MAKE MONEY EARN 
💱💲💱💲💰💰💸💸💳💳",2018-08-10 06:29:19,33038.0,1024,8348,False,2021-02-10 22:53:19,"@jefftoodank @pokimanelol #FreeBitcoin  #Bitcoin #BTC #Bitcoinmining #ElonMusk #btcturk
#Crypto #CryptoTab By creat… https://t.co/Wca5g9JnTo","['FreeBitcoin', 'Bitcoin', 'BTC', 'Bitcoinmining', 'ElonMusk', 'btcturk', 'Crypto', 'CryptoTab']",Twitter for Android,false
Nishant Bhardwaj,"Kota, Rajasthan","Philosopher, psychologist, spiritual, writer and a full time seeker. RW until India get a better option. Tweets may be offensive but are purely organic views.",2010-07-01 06:59:21,662.0,155,915,False,2021-02-10 22:53:12,"2 hours. $SRM 🚀 

#Bitcoin #BTC #dogeto1dollar https://t.co/d0SJGBNSRW https://t.co/AdOVinwoTz","['Bitcoin', 'BTC', 'dogeto1dollar']",Twitter for iPhone,false
SeeG,Above You !,"Veni-Vidi-Tweeti / in #btc, #eth, #vet, #vtho, #ada, #sol WE TRUST!",2019-10-09 21:25:48,8.0,0,49,False,2021-02-10 22:52:32,#btc    #bitcoin    #Ethereum  #ETH #dogecoin #Cardano #ada #Solana #sol #VeChain #VET #VeThor #VTHO Cardano and Solana @ ATH !! 🥳🥳,"['btc', 'bitcoin', 'Ethereum', 'ETH', 'dogecoin', 'Cardano', 'ada', 'Solana', 'sol', 'VeChain', 'VET', 'VeThor', 'VTHO']",Twitter for iPhone,false
Cryptocurrencies / EUR,,Stay updated on the main cryptocurrencies of the market | @cryptosUSD for USD | Do you miss any coin? ➡️ DMs open,2018-08-03 21:30:08,4052.0,1,9,False,2021-02-10 22:52:31,"🔄 Prices update in $EUR (1 hour):

$BTC   - 37273.2 €  (+0.45 %)
$ETH   - 1438.6 €  (+0.93 %)
$XRP   - 0.42 €    (+… https://t.co/SESjXAgtkW",,Cryptocurrencies prices to EUR,false
timmyfredy,,Ex-professional gamer who now spends his time investing in cryptos,2020-11-24 17:36:30,98.0,667,474,False,2021-02-10 22:52:19,"In First For Commercial Bank, Blue Ridge ATMs Are Now Selling Bitcoin https://t.co/uEHThCzuiM #crypto #rich #money #btc #bitcoin","['crypto', 'rich', 'money', 'btc', 'bitcoin']",,false
Amber Twemlow (Twem)🇬🇧💂🏻👩🏼‍🎓❤️🌈😇🧜🏻‍♀️,"Point Clear, England","Twem here, Siren & anti-influencer. Tip me a Bitcoin coffee ☕️ at 3L9dzTLQRcxNpN89V6gfNrbaz95UQ5VMrZ - Princessipality of Point Clear xx",2019-02-19 00:29:07,4237.0,2942,126176,False,2021-02-10 22:52:08,"#Bitcoin #BTC current price (GBP): £32,587
Like my updates? you can tip me at 3L9dzTLQRcxNpN89V6gfNrbaz95UQ5VMrZ","['Bitcoin', 'BTC']",Twemzy,false
BeSmart 🇬🇧 🌊🌊🌊,"London, England","“Glorify the peacemaker holding the pen not the warrior holding the sword"" #BTC #Bitcoin",2011-02-08 14:37:47,1525.0,3432,30342,False,2021-02-10 22:52:06,#Mastercard Will Let Merchants Accept Payments in Crypto This Year - CoinDesk #btc #bitcoin  https://t.co/6iEJN7I4FZ,"['Mastercard', 'btc', 'bitcoin']",Twitter for iPhone,false
David Jensen,"Vancouver, British Columbia","Warned Gov. of Bank of Canada David Dodge of 2008 financial crash in 2007. 
https://t.co/EmrbaIMCOF",2017-06-06 00:17:40,6616.0,730,3932,False,2021-02-10 22:51:56,"@zerohedge -
It's okay - Tesla's new business model is #crypto promotion.

https://t.co/MUuN6DyJkX #btc $btc #bitcoin $gold $silver","['crypto', 'btc', 'bitcoin']",Twitter Web App,false
Michael Ritchie,,Just some guy,2020-08-26 02:27:44,41.0,149,3833,False,2021-02-10 22:51:25,Check out this #NFT for sale on Mintable! Pick up 'Satoshi Nakamoto Cathedral' before its swooped up!… https://t.co/BtMiLtxWeJ,['NFT'],Twitter Web App,false
BittrexPrices,,Scans Bittrex’s main currencies hourly | Also @BinancePrices @KrakenPrices | We are not @BittrexExchange | Business ➡ cryptocurrencies.prices@gmail.com,2018-05-25 20:30:07,3131.0,1,18,False,2021-02-10 22:51:15,"🔄 Prices update in $USDT (1 hour):

$BTC - 45067.76 $      (+0.41 %)
$ETH - 1740.32 $       (+0.91 %)
$XRP - 0.5 $… https://t.co/98xHEyxxZi",,Bittrex Prices,false
Free Bitcoin,,"#FreeBitcoin  #Bitcoin #BTC #Bitcoinmining #ElonMusk #btcturk
#Crypto #CryptoTab 
MAKE MONEY EARN 
💱💲💱💲💰💰💸💸💳💳",2018-08-10 06:29:19,33038.0,1024,8348,False,2021-02-10 22:50:46,"@thecryptocaddy @BinanceUS #FreeBitcoin  #Bitcoin #BTC #Bitcoinmining #ElonMusk #btcturk
#Crypto #CryptoTab By crea… https://t.co/yJsXdAQ8V2","['FreeBitcoin', 'Bitcoin', 'BTC', 'Bitcoinmining', 'ElonMusk', 'btcturk', 'Crypto', 'CryptoTab']",Twitter for Android,false
Free Bitcoin,,"#FreeBitcoin  #Bitcoin #BTC #Bitcoinmining #ElonMusk #btcturk
#Crypto #CryptoTab 
MAKE MONEY EARN 
💱💲💱💲💰💰💸💸💳💳",2018-08-10 06:29:19,33038.0,1024,8348,False,2021-02-10 22:50:37,"@Manh8tan #FreeBitcoin  #Bitcoin #BTC #Bitcoinmining #ElonMusk #btcturk
#Crypto #CryptoTab By creating your own fre… https://t.co/PaEClOwlrT","['FreeBitcoin', 'Bitcoin', 'BTC', 'Bitcoinmining', 'ElonMusk', 'btcturk', 'Crypto', 'CryptoTab']",Twitter for Android,false
Free Bitcoin,,"#FreeBitcoin  #Bitcoin #BTC #Bitcoinmining #ElonMusk #btcturk
#Crypto #CryptoTab 
MAKE MONEY EARN 
💱💲💱💲💰💰💸💸💳💳",2018-08-10 06:29:19,33038.0,1024,8348,False,2021-02-10 22:50:30,"@cryptocognitive #FreeBitcoin  #Bitcoin #BTC #Bitcoinmining #ElonMusk #btcturk
#Crypto #CryptoTab By creating your… https://t.co/agZWrO1rP8","['FreeBitcoin', 'Bitcoin', 'BTC', 'Bitcoinmining', 'ElonMusk', 'btcturk', 'Crypto', 'CryptoTab']",Twitter for Android,false
Free Bitcoin,,"#FreeBitcoin  #Bitcoin #BTC #Bitcoinmining #ElonMusk #btcturk
#Crypto #CryptoTab 
MAKE MONEY EARN 
💱💲💱💲💰💰💸💸💳💳",2018-08-10 06:29:19,33038.0,1024,8348,False,2021-02-10 22:50:23,"@Marconaut_ #FreeBitcoin  #Bitcoin #BTC #Bitcoinmining #ElonMusk #btcturk
#Crypto #CryptoTab By creating your own f… https://t.co/0Ht6KbUA3B","['FreeBitcoin', 'Bitcoin', 'BTC', 'Bitcoinmining', 'ElonMusk', 'btcturk', 'Crypto', 'CryptoTab']",Twitter for Android,false
Free Bitcoin,,"#FreeBitcoin  #Bitcoin #BTC #Bitcoinmining #ElonMusk #btcturk
#Crypto #CryptoTab 
MAKE MONEY EARN 
💱💲💱💲💰💰💸💸💳💳",2018-08-10 06:29:19,33038.0,1024,8348,False,2021-02-10 22:50:13,"@TEmigrator @PsychoOnWallst #FreeBitcoin  #Bitcoin #BTC #Bitcoinmining #ElonMusk #btcturk
#Crypto #CryptoTab By cre… https://t.co/PZiyKAUlDL","['FreeBitcoin', 'Bitcoin', 'BTC', 'Bitcoinmining', 'ElonMusk', 'btcturk', 'Crypto', 'CryptoTab']",Twitter for Android,false
Free Bitcoin,,"#FreeBitcoin  #Bitcoin #BTC #Bitcoinmining #ElonMusk #btcturk
#Crypto #CryptoTab 
MAKE MONEY EARN 
💱💲💱💲💰💰💸💸💳💳",2018-08-10 06:29:19,33038.0,1024,8348,False,2021-02-10 22:50:04,"@David_Nage #FreeBitcoin  #Bitcoin #BTC #Bitcoinmining #ElonMusk #btcturk
#Crypto #CryptoTab By creating your own f… https://t.co/QswwLnXOOd","['FreeBitcoin', 'Bitcoin', 'BTC', 'Bitcoinmining', 'ElonMusk', 'btcturk', 'Crypto', 'CryptoTab']",Twitter for Android,false
Michael Ritchie,,Just some guy,2020-08-26 02:27:44,41.0,149,3833,False,2021-02-10 22:49:19,Check out this #NFT for sale on Mintable! Pick up 'Bitcoin Riva' before its swooped up! https://t.co/Itz94Q4hqb… https://t.co/VP54KqNGT2,['NFT'],Twitter Web App,false
Rodrigo Santiago,"London, England","Brazilian Portuguese Based in London, UK.",2009-04-25 00:40:01,315.0,85,97,False,2021-02-10 22:48:43,"What will be the next company to invest in bitcoins? 

#Bitcoin
#BTC","['Bitcoin', 'BTC']",Twitter for iPhone,false
CryptoSquawk,Australia,"24x7 Crypto market real-time audio squawk for Bitcoin / BitMEX day traders. Whale trade alerts, peak volume trading, price action. Buying / selling pressure.",2017-10-05 10:13:09,1281.0,25,72,False,2021-02-10 22:48:41,"⚡ Peak $BTC volume trading across the major exchanges! Price trading around 45119
  https://t.co/iMB1mj8Cs1 👈 #Bitcoin #crypto #BTC","['Bitcoin', 'crypto', 'BTC']",CryptoSquawkBot,false
PaulCrypto.com,"Bathurst, New Brunswick, Canada",2020,2010-03-25 00:55:52,4817.0,3657,859,False,2021-02-10 22:47:01,#Tether’s #MarketCap has crossed $30 billion as large investors are buying #Bitcoin - #BTC #Cryptocurrency… https://t.co/jtLPAae9JA,"['Tether', 'MarketCap', 'Bitcoin', 'BTC', 'Cryptocurrency']",paulcrypto,false
Youssef Fedda,Australia,"love interesting startups, stocks and innovative #Blockchain projects.



INFJ-A",2021-01-13 07:16:35,2518.0,1082,191,False,2021-02-10 22:46:57,"$pols $room $idle $cvr $chs $juld $doge $btc $eth $bnb $dot $ada $link $snx $xrp $rsr
#Binance  #BTC #Bitcoin 

How… https://t.co/fM71OuUkPY","['Binance', 'BTC', 'Bitcoin']",Twitter for Android,false
Walter Hummel,,"Gerechtigkeitsanwalt
I accept #dogecoin",2020-06-09 17:12:54,157.0,571,3666,False,2021-02-10 22:44:47,"#Dogecoin Papa Elon just sent #Doge worth of 150k $ to Africa. 

#Bitcoin is the gold, $doge the currency.
Crazy Mu… https://t.co/NjRcawEZ1w","['Dogecoin', 'Doge', 'Bitcoin']",Twitter Web App,false
KD32,"Amsterdam, Nederland",#Bitcoin $XLM #Stellar $SRM $DOGE 🤑,2020-06-23 17:48:21,94.0,189,753,False,2021-02-10 22:44:16,I think today showed that alot of investors are waiting with a full bag of stablecoins to buy the dip. #BTC… https://t.co/abSsenqYyW,['BTC'],Twitter for iPhone,false
www.Bitcoiners.radio,online,"https://t.co/9rnCIJPm3b
https://t.co/6t38tJX0H9
https://t.co/AZ2ktdJUTp
https://t.co/QsSyq9U1e8
https://t.co/3etXhQyRoE
https://t.co/dyQCosWmuZ
https://t.co/Dh1HDJn65R",2020-07-06 17:04:03,175.0,281,1629,False,2021-02-10 22:43:48,"Tune in to Read_493 - Asset DNA, Explaining Bitcoin's Speculative Attack [Croesus] by Bitcoin Audible… https://t.co/o44pnaw6f7",,Integromat,false
Rodrigo Santiago,"London, England","Brazilian Portuguese Based in London, UK.",2009-04-25 00:40:01,315.0,85,97,False,2021-02-10 22:43:44,Who Let the Dogs Out? #Bitcoin #BTC,"['Bitcoin', 'BTC']",Twitter for iPhone,false
Nishant Bhardwaj,"Kota, Rajasthan","Philosopher, psychologist, spiritual, writer and a full time seeker. RW until India get a better option. Tweets may be offensive but are purely organic views.",2010-07-01 06:59:21,662.0,155,915,False,2021-02-10 22:43:06,"I do not believe in giving long term suggestions. All we know about is today and tomorrow. 

You have no clue how t… https://t.co/yIDdj7pdBs",,Twitter for iPhone,false
DeveloperSteve,Planet Earth (for now),"Developer Advocate @IBMDeveloper, prev @telstradev @XeroAPI @PayPalDev. Seasoned Dev/Ops/CTO/Maker/Geek/Gamer/Speaker/MC/Hackathon Mentor/Judge. 👫 @emmacoochin",2011-02-25 08:26:43,5272.0,3935,31376,False,2021-02-10 22:42:09,In case anyones keen to get on the #btc moon train (its not too late before it shoots up again) ... sign up to… https://t.co/hpJ4UzbGUO,['btc'],Twitter Web App,false
Dave,UK ,"@VisionCryptoApp team member 

#Bitcoin

https://t.co/gziWiNR7VD

https://t.co/jtWp7YAQ4h",2019-04-11 18:54:58,4990.0,3706,9857,False,2021-02-10 22:41:02,"The @VisionCryptoApp team spent time at a @tesla store in San Francisco a couple of years ago 😉 

Not that we are t… https://t.co/aC1xcptytV",,Twitter for Android,false
Sam Knight,On the move ,~ Expression of Soul ~ Not from 🌏👽,2010-01-11 02:54:33,1091.0,80,2183,False,2021-02-10 22:40:51,Can I bring #bitcoin on #SharkTank ? #BTC 😂,"['bitcoin', 'SharkTank', 'BTC']",Twitter for iPhone,false
$Damxchange 💎,,I’m my own bank & I’m loving it! #Bitcoin #BTC #TRON #TRX #SUN #Litecoin #LTC #BCH #BSV #ETH,2020-05-11 01:51:46,5091.0,941,6766,False,2021-02-10 22:39:59,"Pretty cool @kurtwuckertjr 👍👍

#BSV #BTC #BCH #Bitcoin https://t.co/rI2RDUzbTU","['BSV', 'BTC', 'BCH', 'Bitcoin']",Twitter for iPhone,false
zeroconfirmz💎,,Crypto with zero confirmations (you know what I mean) will change the world #BSV #BCH #TRX #TRON #WBTC #Bitcoin #LN #LightningNetwork,2021-02-02 09:31:57,1456.0,343,193,False,2021-02-10 22:38:53,"@kurtwuckertjr drew up this diagram to explain the difference between a listening node, a mining node, a mining poo… https://t.co/JgAyJtrcY0",,Twitter for iPhone,false
Jason Towsley ☕️🧢 🇨🇦🟠,"Windsor, Ontario","The Chandler Bing of CEO of Towsley Consulting for Technology Company’s Making a Positive Impact in Society. #Bitcoin 
https://t.co/2T5gLXjiHG",2010-08-18 03:18:22,549.0,638,9167,False,2021-02-10 22:38:01,"#Bitcoin and #blockchaintechnology should become synonymous with a trade... it’s not complicated, it’s either right… https://t.co/Gf9tdmYMFL","['Bitcoin', 'blockchaintechnology']",Twitter for iPhone,false
Trading MarcoDaCosta,StocksLand 💶💵💷,Investor. Trader. Thinker. Trading Strategist. 💶Private Financial Advisor. #Bitcoin #Binance #BSC #OptionsTrading 🎱,2010-03-01 19:35:17,5366.0,927,34484,False,2021-02-10 22:37:46,$MA 💳 #Mastercard Will Let Merchants Accept #Payments in #Crypto This Year. #Bitcoin #BTC  https://t.co/fKPe15reOA,"['Mastercard', 'Payments', 'Crypto', 'Bitcoin', 'BTC']",Twitter for iPhone,false
Borsatakipcisi,"Konya, Türkiye",#Bitcoin,2018-11-25 11:49:39,186.0,347,5020,False,2021-02-10 22:37:18,"$algo is best project and good team with 2021 star🚀🚀 going ATH 2021
#BTC #Bitcoin https://t.co/OARXMHihBs","['BTC', 'Bitcoin']",Twitter for Android,false
FedeLC,,Avid reader - Investor,2012-05-14 18:53:41,54.0,494,74,False,2021-02-10 22:37:10,its mere existence is an insurance policy that will remind governments that the last object the establishment could… https://t.co/O0rJiW8Keq,,Twitter for Android,false
Crypto Funder,Crypto Heaven,Crypto NEWS and SPECULATIONS 📰,2021-02-10 21:22:18,6.0,0,29,False,2021-02-10 22:37:09,"Mastercard will give merchants the ability to accept #btc payments this year. 🪙

#Bitcoin","['btc', 'Bitcoin']",Twitter Web App,false
Market Science,,"I analyze all markets, but i trade most crypto!
I love scalping!
My telegram channel: https://t.co/uBlOFb5qoJ",2020-05-25 20:40:39,437.0,173,330,False,2021-02-10 22:36:30,"$btc reached the first support at 44500 and dumped more 
In h4, is sitting on ema 20.

- If ema 20 won't hold, next… https://t.co/pQp4jM7vHV",,Twitter Web App,false
A Whole American,Providence Plantations,"He/Haw
#LibertarianNationalist #FinancialResponsibility #RuggedIndividualist #InsultsShouldBeOffensive
Parler:@AWholeAmerican
Unrepentant...",2012-02-25 03:24:11,1364.0,1949,1855,False,2021-02-10 22:35:55,Once @theDemocrats find out @getongab takes #Bitcoin as payment I'm pretty sure #BTC will face a crack down.,"['Bitcoin', 'BTC']",Twitter Web App,false
Juan Gonzales,"San Diego, CA","Nico is the Name Crypto is the game!!!

The Man the Myth The Legend!!! Download and Follow me ₿
https://t.co/zLj04E9Lj4",2020-08-11 22:43:02,32.0,31,197,False,2021-02-10 22:35:42,I swear there is a Squirrel 🐿️ in that bush   https://t.co/v8ZP1MrQww #BTC  #BitCorn #Bitcoin #addMe… https://t.co/wfEfVSEVnU,"['BTC', 'BitCorn', 'Bitcoin', 'addMe']",Twitter for Android,false
#Mailey,"Vancouver, BC",Lucky fool making decisions and money based on History | Market Cycles | Investing | Behavioural Economics | Probabilities | Randomness and Uncommon Sense..,2020-11-03 19:10:23,314.0,182,8639,False,2021-02-10 22:35:29,"@EconguyRosie Rosie not so Rosie on #Crypto 🤣 David Doomsberg is more fitting 🤣

Jokes Jokes 🙏 Much respect sir to… https://t.co/uFidijqZPG",['Crypto'],Twitter Web App,false
KrakenPrices,,"Scans Kraken's main currencies hourly | Also @BittrexPrices @BinancePrices | Not official, we are not @Krakenfx | Business ➡ cryptocurrencies.prices@gmail.com",2018-05-25 21:11:08,3210.0,1,28,False,2021-02-10 22:35:01,"🔄 Prices update in $USD (1 hour):

$BTC - 45195.1 $ (+0.88 %)
$ETH - 1741.77 $ (+1.21 %)
$XRP - 0.51 $    (+2.71 %)… https://t.co/o5L44ffp5K",,Kraken prices,false
Hulyath,,,2021-02-10 22:14:57,0.0,10,4,False,2021-02-10 22:34:39,"BadgerDAO Partners With https://t.co/A7Q5RA9lbK To Build Sustainable Bitcoin Vaults
https://t.co/KmlFZuLssD
#YFI… https://t.co/r744UO02Nw",['YFI'],esnappy,false
Dani,,For CRYPTO SIGNALS: https://t.co/VOko3Gq52d and For FOREX SIGNALS: https://t.co/ReyJxe5rm8,2020-06-13 07:31:43,8.0,2,14,False,2021-02-10 22:33:12,"#USDJPY TP2 Hit! 127 PIPS Profit🔥✨🔱

The link of Crypto and Forex Signals Channel is present in the bio. Go Check i… https://t.co/1GSThE1LxX",['USDJPY'],MagicPot,false
Hairy Angel,nowhere,"You are the entire humanity, you are the world and the world is you. -krishnamurti Love over Fear Every Time! Mirror Mirror #FREEHUGS",2012-04-26 16:12:53,195.0,141,581,False,2021-02-10 22:32:37,I just started following @freebitco but have been spinning for free #BTC for years. Click the link (add the dot fir… https://t.co/PwSsqYc6HG,['BTC'],Twitter Web App,false
TeaBeforeBrunch,,We should all have a little tea before brunch ☕️ (website loading ...),2021-01-01 16:28:32,0.0,9,2,False,2021-02-10 22:31:52,Mind your phones! Full story: https://t.co/jDdi4xafxH #BTC #Crypto #DigitalCurrency #Bitcoin #Vcoin #TBB #Future… https://t.co/2OkwUbwJRC,"['BTC', 'Crypto', 'DigitalCurrency', 'Bitcoin', 'Vcoin', 'TBB', 'Future']",Instagram,false
Borsatakipcisi,"Konya, Türkiye",#Bitcoin,2018-11-25 11:49:39,186.0,347,5020,False,2021-02-10 22:30:29,"$algo hey @Grayscale look algo and stake good price. Algo is 2021 star hodl
Algo investor year 2021 buy dip hodl🚀🚀
#BTC #Bitcoin","['BTC', 'Bitcoin']",Twitter for Android,false
PiRoyot,,Test Twitter Bot for Pi,2020-06-07 10:46:59,1.0,0,0,False,2021-02-10 22:30:01,"Market Id : BTC-AUD
Last Price :58838.51
24 Hour High :61550
24 Hour Low :57009.19
Best Bid :58838.51
Best Ask : 58875.6
#btc #bitcoin","['btc', 'bitcoin']",HashTagTrendRoy,false
J.Crypto,United States,"DM me with specific coin analysis request!






I am not a professional and this is not financial advice.",2018-01-10 15:14:11,86.0,386,270,False,2021-02-10 22:29:53,"Check me out! 

#ZRX #0x #cryptoart #cryptotwitter #cryptocurrency #altcoin #ALTSEASON #crypto #cryptotwitter… https://t.co/cWSpgCOHkn","['ZRX', '0x', 'cryptoart', 'cryptotwitter', 'cryptocurrency', 'altcoin', 'ALTSEASON', 'crypto', 'cryptotwitter']",Twitter for iPhone,false
